Médico ID;Estratégia;Tática; Presc.EMS-1 ; Presc.EMS-2 ; Presc.EMS-3 ; Presc.EMS-O ; Potencial Prescritivo ; Potencia Concorrência ;Campanha;Qtde Brinde; Frequência de visita ;Visita Apresentação;Visita Acompanhamento;Visita Lançamento;Visita Prom;Material Promo;Amostras;Especial;Cidade;Região;Estado;Categoria ;Especialidade; Valor Consulta ;Convênios;Volume Pacientes;Perfil Localização;Perfil Pacientes;Idade
8237694;Entrada;Foco MS-2; 4.320,00 ; 4.220,00 ; 820,00 ; 8.620,00 ; 28.500,00 ; 10.520,00 ;0;4; 0,58 ;2;4;1;7;0;60;0;Rio de Janeiro;Periférica;RJ;0;Cardiologista; 658,00 ;2;195;Região C;Alta;41
8237845;Entrada;Foco MS-2; 3.720,00 ; 1.120,00 ; 1.020,00 ; 7.420,00 ; 23.800,00 ; 10.520,00 ;7;12; 0,50 ;2;1;2;6;4;60;0;Santos;Periférica;SP;0;Cardiologista; 150,00 ;2;190;Região D;Indefinido;48
8237996;Manutenção;Foco MS-1; 1.810,00 ; 2.710,00 ; 910,00 ; 1.610,00 ; 7.650,00 ; 610,00 ;2;8; 0,58 ;1;3;2;7;5;100;0;Santos;Central;SP;2;Cardiologista; 261,00 ;3;235;Região D;Média Alta;50
8238147;Referência;Foco MS-3; 7.930,00 ; 3.330,00 ; 930,00 ; 3.530,00 ; 28.950,00 ; 13.230,00 ;11;0; 0,83 ;4;3;2;10;0;40;0;Porto Alegre;Central;RS;2;Cardiologista; 332,00 ;3;215;Região C;Alta;45
8238298;Conversão;Convencional; 1.700,00 ; 4.100,00 ; 1.800,00 ; 4.000,00 ; 22.300,00 ; 10.700,00 ;10;13; 0,67 ;1;4;3;8;1;60;0;Rio de Janeiro;Periférica;RJ;1;Cardiologista; 407,00 ;6;380;Região D;Alta;43
8238449;Entrada;Foco MS-3; 9.930,00 ; 3.130,00 ; 2.130,00 ; 2.130,00 ; 32.550,00 ; 15.230,00 ;5;11; 1,00 ;5;3;3;12;0;100;0;Minas Gerais;Central;MG;0;Cardiologista; 163,00 ;5;360;Região C;Indefinido;52
8238600;Entrada;Foco MS-3; 1.130,00 ; 430,00 ; 830,00 ; 12.530,00 ; 30.950,00 ; 16.030,00 ;7;10; 0,33 ;1;1;2;4;2;40;0;São Paulo;Periférica;SP;1;Cardiologista; 190,00 ;5;385;Região E;Média Baixa;48
8238751;Entrada;Foco MS-2; 920,00 ; 620,00 ; 1.720,00 ; 6.120,00 ; 22.500,00 ; 13.120,00 ;7;5; 0,17 ;0;0;2;2;1;80;0;Salvador;Periférica;BA;2;Cardiologista; 201,00 ;1;85;Região D;Média;43
8238902;Manutenção;Foco MS-2; 7.320,00 ; 1.620,00 ; 820,00 ; 4.620,00 ; 29.200,00 ; 14.820,00 ;3;8; 0,58 ;3;2;2;7;3;100;0;Santos;Periférica;SP;1;Cardiologista; 226,00 ;3;225;Região C;Média Alta;48
8239053;Referência;Convencional; 4.800,00 ; 1.700,00 ; 2.200,00 ; 14.100,00 ; 38.700,00 ; 15.900,00 ;11;14; 0,75 ;3;3;3;9;3;60;0;Minas Gerais;Central;MG;2;Cardiologista; 298,00 ;7;505;Região A;Média Alta;52
8239204;Manutenção;Convencional; 3.500,00 ; 1.900,00 ; 1.100,00 ; 4.000,00 ; 13.000,00 ; 2.500,00 ;4;6; 0,50 ;2;2;2;6;3;40;0;São Paulo;Periférica;SP;1;Cardiologista; 326,00 ;4;330;Região C;Média Alta;59
8239355;Manutenção;Foco MS-2; 1.620,00 ; 20,00 ; 220,00 ; 3.320,00 ; 20.600,00 ; 15.420,00 ;11;9; 0,42 ;2;1;2;5;0;60;0;Salvador;Central;BA;0;Cardiologista; 450,00 ;7;465;Região D;Alta;51
8239506;Entrada;Foco MS-2; 6.620,00 ; 1.820,00 ; 320,00 ; 9.120,00 ; 34.100,00 ; 16.220,00 ;6;13; 0,75 ;4;2;2;9;5;80;0;São Paulo;Periférica;SP;0;Cardiologista; 266,00 ;6;430;Região A;Média Alta;42
8239657;Conversão;Migração; 7.240,00 ; 4.940,00 ; 540,00 ; 1.240,00 ; 28.200,00 ; 14.240,00 ;11;4; 0,67 ;3;4;1;8;2;80;0;Minas Gerais;Periférica;MG;2;Cardiologista; 266,00 ;2;140;Região E;Média Alta;53
8239808;Entrada;Foco MS-3; 5.230,00 ; 2.330,00 ; 930,00 ; 1.930,00 ; 26.950,00 ; 16.530,00 ;2;5; 0,50 ;2;2;2;6;0;20;0;Rio de Janeiro;Periférica;RJ;0;Cardiologista; 271,00 ;3;205;Região B;Média Alta;44
8239959;Referência;Migração; 3.540,00 ; 1.640,00 ; 1.240,00 ; 2.040,00 ; 13.900,00 ; 5.440,00 ;0;2; 0,25 ;1;1;1;3;3;60;0;São Paulo;Central;SP;0;Cardiologista; 188,00 ;1;120;Região D;Indefinido;50
8240110;Referência;Foco MS-1; 2.710,00 ; 5.110,00 ; 1.310,00 ; 5.310,00 ; 29.950,00 ; 15.510,00 ;9;10; 0,83 ;2;5;2;10;0;20;0;Rio de Janeiro;Periférica;RJ;0;Cardiologista; 177,00 ;6;395;Região A;Indefinido;44
8240261;Referência;Foco MS-1; 6.410,00 ; 3.810,00 ; 1.510,00 ; 6.310,00 ; 29.950,00 ; 11.910,00 ;5;6; 0,67 ;3;3;2;8;1;120;0;Minas Gerais;Central;MG;1;Cardiologista; 193,00 ;1;155;Região B;Média;48
8240412;Entrada;Foco MS-2; 8.220,00 ; 220,00 ; 1.520,00 ; 12.720,00 ; 25.900,00 ; 3.220,00 ;8;11; 0,67 ;4;1;3;8;4;100;0;São Paulo;Central;SP;0;Cardiologista; 323,00 ;7;450;Região B;Média Alta;47
8240563;Entrada;Foco MS-2; 8.620,00 ; 2.420,00 ; 1.120,00 ; 8.520,00 ; 37.500,00 ; 16.820,00 ;8;6; 0,50 ;3;2;1;6;5;20;0;Santos;Periférica;SP;0;Cardiologista; 162,00 ;0;50;Região D;Média;50
8240714;Manutenção;Convencional; 8.300,00 ; 900,00 ; 1.800,00 ; 4.100,00 ; 31.800,00 ; 16.700,00 ;0;10; 0,67 ;4;1;2;8;4;120;0;São Paulo;Periférica;SP;2;Cardiologista; 277,00 ;4;295;Região C;Média Alta;52
8240865;Manutenção;Convencional; 9.800,00 ; 1.000,00 ; -   ; 7.200,00 ; 28.300,00 ; 10.300,00 ;11;13; 0,75 ;5;2;2;9;0;40;0;Santos;Central;SP;1;Cardiologista; 273,00 ;6;370;Região C;Média Alta;42
8241016;Manutenção;Foco MS-2; 2.720,00 ; 420,00 ; 1.720,00 ; 10.020,00 ; 15.800,00 ; 920,00 ;8;13; 0,42 ;2;1;2;5;5;120;0;Rio de Janeiro;Central;RJ;1;Cardiologista; 233,00 ;4;295;Região C;Média Alta;58
8241167;Conversão;Convencional; 1.500,00 ; 3.500,00 ; 800,00 ; 2.000,00 ; 13.300,00 ; 5.500,00 ;0;5; 0,42 ;1;3;1;5;4;120;0;Porto Alegre;Central;RS;1;Cardiologista; 257,00 ;2;165;Região C;Média Alta;50
8241318;Referência;Convencional; 8.000,00 ; 2.100,00 ; 2.200,00 ; 10.500,00 ; 24.600,00 ; 1.800,00 ;10;7; 0,75 ;4;2;2;9;0;80;0;Santos;Central;SP;1;Cardiologista; 258,00 ;4;290;Região B;Média Alta;57
8241469;Conversão;Convencional; 1.000,00 ; 2.000,00 ; 100,00 ; 12.000,00 ; 25.800,00 ; 10.700,00 ;10;3; 0,50 ;1;2;2;6;2;60;0;Minas Gerais;Periférica;MG;2;Cardiologista; 222,00 ;5;375;Região D;Indefinido;41
8241620;Conversão;Foco MS-2; 6.520,00 ; 420,00 ; 320,00 ; 1.520,00 ; 13.100,00 ; 4.320,00 ;7;1; 0,33 ;2;0;1;4;5;40;0;São Paulo;Periférica;SP;0;Cardiologista; 186,00 ;0;40;Região A;Média Baixa;49
8241771;Entrada;Foco MS-2; 4.420,00 ; 1.820,00 ; 820,00 ; 12.820,00 ; 32.200,00 ; 12.320,00 ;7;10; 0,42 ;2;1;1;5;5;80;3417,213083;Rio de Janeiro;Central;RJ;1;Cardiologista; 190,00 ;1;110;Região C;Média Alta;52
8241922;Referência;Foco MS-2; 3.320,00 ; 5.220,00 ; 1.920,00 ; 8.420,00 ; 26.800,00 ; 7.920,00 ;0;10; 0,92 ;2;5;3;11;1;40;0;Rio de Janeiro;Periférica;RJ;1;Cardiologista; 284,00 ;6;390;Região A;Média Alta;50
8242073;Entrada;Convencional; 3.100,00 ; 4.300,00 ; 1.300,00 ; 9.100,00 ; 20.700,00 ; 2.900,00 ;6;2; 0,75 ;2;4;2;9;4;20;0;Porto Alegre;Periférica;RS;2;Cardiologista; 159,00 ;5;350;Região C;Indefinido;51
8242224;Entrada;Foco MS-2; 3.720,00 ; 1.220,00 ; 920,00 ; 10.620,00 ; 28.500,00 ; 12.020,00 ;1;14; 0,50 ;2;2;2;6;0;100;0;Santos;Periférica;SP;0;Cardiologista; 273,00 ;6;370;Região C;Média;41
8242375;Entrada;Foco MS-1; 3.610,00 ; 4.810,00 ; 1.110,00 ; 1.110,00 ; 19.950,00 ; 9.310,00 ;9;5; 0,83 ;2;5;2;10;1;100;0;Minas Gerais;Central;MG;0;Cardiologista; 268,00 ;5;365;Região E;Média Alta;43
8242526;Conversão;Foco MS-2; 3.420,00 ; 2.120,00 ; 920,00 ; 2.220,00 ; 20.900,00 ; 12.220,00 ;1;12; 0,42 ;1;2;1;5;4;100;0;Santos;Central;SP;2;Cardiologista; 249,00 ;0;90;Região E;Média Alta;52
8242677;Entrada;Convencional; 10.100,00 ; 1.500,00 ; 1.600,00 ; 6.100,00 ; 37.400,00 ; 18.100,00 ;9;6; 0,58 ;4;1;2;7;1;100;0;Salvador;Central;BA;1;Cardiologista; 222,00 ;2;170;Região E;Média Baixa;52
8242828;Entrada;Foco MS-1; 7.910,00 ; 1.510,00 ; 2.010,00 ; 12.510,00 ; 24.250,00 ; 310,00 ;8;11; 0,75 ;4;2;2;9;1;40;0;São Paulo;Central;SP;0;Cardiologista; 193,00 ;4;305;Região B;Indefinido;49
8242979;Conversão;Foco MS-1; 8.910,00 ; 410,00 ; 710,00 ; 2.310,00 ; 20.750,00 ; 8.410,00 ;6;5; 0,58 ;4;1;2;7;0;100;0;Santos;Central;SP;1;Cardiologista; 635,00 ;5;365;Região D;Alta;48
8243130;Manutenção;Foco MS-2; 3.420,00 ; 3.520,00 ; 1.920,00 ; 10.320,00 ; 31.400,00 ; 12.220,00 ;10;10; 0,58 ;2;3;2;7;3;20;0;Porto Alegre;Central;RS;2;Cardiologista; 157,00 ;2;180;Região E;Média Baixa;48
8243281;Entrada;Foco MS-3; 1.030,00 ; 3.530,00 ; 1.430,00 ; 12.530,00 ; 31.750,00 ; 13.230,00 ;5;11; 0,83 ;2;4;3;10;0;20;0;Santos;Central;SP;1;Cardiologista; 287,00 ;7;475;Região E;Média Alta;42
8243432;Referência;Convencional; 9.700,00 ; 5.100,00 ; 1.600,00 ; 9.500,00 ; 36.600,00 ; 10.700,00 ;8;13; 1,08 ;5;5;3;13;0;60;3680,969209;Santos;Central;SP;1;Cardiologista; 318,00 ;7;465;Região B;Média;45
8243583;Referência;Foco MS-3; 6.830,00 ; 4.730,00 ; 1.030,00 ; 15.030,00 ; 30.250,00 ; 2.630,00 ;10;10; 0,83 ;3;4;2;10;2;60;0;São Paulo;Periférica;SP;1;Cardiologista; 139,00 ;3;285;Região B;Indefinido;44
8243734;Conversão;Foco MS-3; 1.730,00 ; 3.630,00 ; 1.330,00 ; 9.730,00 ; 22.950,00 ; 6.530,00 ;10;13; 0,50 ;1;3;2;6;0;120;0;Rio de Janeiro;Periférica;RJ;1;Cardiologista; 140,00 ;1;155;Região C;Média Baixa;58
8243885;Referência;Foco MS-2; 3.720,00 ; 4.520,00 ; 1.820,00 ; 1.620,00 ; 22.300,00 ; 10.620,00 ;9;6; 0,83 ;2;5;3;10;1;60;0;São Paulo;Central;SP;2;Cardiologista; 208,00 ;6;390;Região B;Média Baixa;43
8244036;Manutenção;Migração; 5.240,00 ; 140,00 ; 540,00 ; 4.640,00 ; 18.700,00 ; 8.140,00 ;5;11; 0,33 ;2;0;1;4;2;120;0;Santos;Periférica;SP;0;Cardiologista; 353,00 ;1;85;Região E;Alta;44
8244187;Conversão;Convencional; 2.400,00 ; 2.800,00 ; 1.900,00 ; 3.300,00 ; 15.600,00 ; 5.200,00 ;2;8; 0,67 ;2;3;3;8;5;60;0;Salvador;Central;BA;2;Cardiologista; 320,00 ;7;460;Região A;Média;41
8244338;Referência;Convencional; 9.100,00 ; 2.700,00 ; 1.500,00 ; 14.700,00 ; 30.200,00 ; 2.200,00 ;10;12; 0,67 ;4;2;2;8;2;80;0;Rio de Janeiro;Central;RJ;1;Cardiologista; 181,00 ;0;120;Região A;Média Baixa;50
8244489;Referência;Convencional; 9.100,00 ; 5.100,00 ; 1.000,00 ; 11.600,00 ; 40.600,00 ; 13.800,00 ;11;13; 1,00 ;4;5;2;12;0;100;0;Porto Alegre;Central;RS;0;Cardiologista; 159,00 ;4;290;Região A;Indefinido;54
8244640;Referência;Foco MS-2; 6.520,00 ; 1.920,00 ; 1.620,00 ; 3.620,00 ; 17.000,00 ; 3.320,00 ;11;3; 0,42 ;2;1;1;5;2;120;0;São Paulo;Central;SP;2;Cardiologista; 238,00 ;0;50;Região E;Média Alta;49
8244791;Entrada;Migração; 6.940,00 ; 4.340,00 ; 540,00 ; 14.540,00 ; 44.000,00 ; 17.640,00 ;5;12; 0,92 ;4;4;2;11;3;20;0;Porto Alegre;Central;RS;2;Cardiologista; 261,00 ;6;370;Região A;Média;51
8244942;Referência;Foco MS-1; 7.110,00 ; 4.610,00 ; 1.410,00 ; 7.110,00 ; 26.050,00 ; 5.810,00 ;2;9; 0,67 ;3;4;1;8;3;40;0;Salvador;Periférica;BA;2;Cardiologista; 150,00 ;0;60;Região D;Indefinido;50
8245093;Referência;Migração; 1.640,00 ; 4.840,00 ; 1.040,00 ; 7.540,00 ; 24.800,00 ; 9.740,00 ;8;9; 0,75 ;1;5;2;9;0;20;0;Minas Gerais;Central;MG;0;Cardiologista; 243,00 ;6;390;Região B;Média;46
8245244;Referência;Foco MS-3; 930,00 ; 3.330,00 ; 2.030,00 ; 14.030,00 ; 22.850,00 ; 2.530,00 ;4;1; 0,50 ;0;3;2;6;3;80;4182,845009;Porto Alegre;Periférica;RS;0;Cardiologista; 112,00 ;1;95;Região C;Média Baixa;45
8245395;Conversão;Migração; 2.640,00 ; 3.240,00 ; 1.240,00 ; 540,00 ; 8.200,00 ; 540,00 ;6;1; 0,75 ;2;4;3;9;2;40;0;Santos;Periférica;SP;0;Cardiologista; 239,00 ;7;465;Região B;Indefinido;46
8245546;Entrada;Foco MS-2; 5.520,00 ; 4.020,00 ; 420,00 ; 3.820,00 ; 16.100,00 ; 2.320,00 ;7;2; 0,83 ;3;4;2;10;0;120;0;Santos;Central;SP;1;Cardiologista; 333,00 ;6;360;Região B;Média Alta;63
8245697;Referência;Convencional; 2.500,00 ; 400,00 ; 800,00 ; 800,00 ; 6.100,00 ; 1.600,00 ;6;1; 0,42 ;2;1;2;5;5;20;0;Santos;Periférica;SP;2;Cardiologista; 282,00 ;5;325;Região A;Média;48
8245848;Manutenção;Migração; 3.740,00 ; 840,00 ; 340,00 ; 3.440,00 ; 25.400,00 ; 17.040,00 ;11;7; 0,33 ;1;1;1;4;0;80;0;Rio de Janeiro;Central;RJ;2;Cardiologista; 173,00 ;0;110;Região B;Média Baixa;40
8245999;Conversão;Foco MS-3; 4.730,00 ; 630,00 ; 930,00 ; 3.630,00 ; 18.350,00 ; 8.430,00 ;3;3; 0,25 ;2;0;1;3;5;40;2808,490618;Minas Gerais;Central;MG;2;Cardiologista; 131,00 ;1;105;Região D;Indefinido;47
8246150;Manutenção;Migração; 9.540,00 ; 4.640,00 ; 1.540,00 ; 11.040,00 ; 34.000,00 ; 7.240,00 ;8;4; 1,17 ;5;5;3;14;2;60;0;Rio de Janeiro;Central;RJ;0;Cardiologista; 235,00 ;7;455;Região D;Indefinido;56
8246301;Conversão;Convencional; 800,00 ; 2.000,00 ; 900,00 ; 5.400,00 ; 14.300,00 ; 5.200,00 ;1;10; 0,42 ;1;2;2;5;5;40;3151,419339;Salvador;Central;BA;1;Cardiologista; 233,00 ;4;270;Região E;Média Baixa;53
8246452;Manutenção;Foco MS-2; 6.820,00 ; 220,00 ; 1.420,00 ; 13.920,00 ; 29.000,00 ; 6.620,00 ;5;9; 0,67 ;4;1;2;8;2;20;0;Porto Alegre;Central;RS;0;Cardiologista; 197,00 ;5;365;Região E;Indefinido;51
8246603;Manutenção;Foco MS-1; 1.210,00 ; 3.410,00 ; 510,00 ; 4.610,00 ; 20.750,00 ; 11.010,00 ;1;7; 0,67 ;1;4;2;8;5;80;0;Santos;Periférica;SP;2;Cardiologista; 275,00 ;7;425;Região A;Média;54
8246754;Referência;Foco MS-2; 7.920,00 ; 5.020,00 ; 1.420,00 ; 11.820,00 ; 26.700,00 ; 520,00 ;11;12; 0,83 ;3;4;2;10;3;100;0;Porto Alegre;Central;RS;2;Cardiologista; 213,00 ;2;175;Região C;Média Baixa;40
8246905;Referência;Foco MS-2; 4.120,00 ; 520,00 ; 1.220,00 ; 4.320,00 ; 16.700,00 ; 6.520,00 ;7;12; 0,42 ;2;0;2;5;0;60;0;Rio de Janeiro;Central;RJ;1;Cardiologista; 280,00 ;1;165;Região B;Média Alta;50
8247056;Conversão;Convencional; 9.800,00 ; 800,00 ; 1.800,00 ; 11.400,00 ; 35.700,00 ; 11.900,00 ;2;9; 0,58 ;4;1;2;7;5;20;0;Santos;Central;SP;2;Cardiologista; 250,00 ;3;205;Região D;Média;49
8247207;Entrada;Foco MS-3; 9.030,00 ; 1.630,00 ; 930,00 ; 10.930,00 ; 26.050,00 ; 3.530,00 ;10;12; 1,00 ;5;3;3;12;0;60;0;Porto Alegre;Periférica;RS;2;Cardiologista; 345,00 ;7;505;Região C;Média;55
8247358;Entrada;Foco MS-1; 8.410,00 ; 1.710,00 ; 1.610,00 ; 8.210,00 ; 33.350,00 ; 13.410,00 ;4;4; 0,67 ;4;2;2;8;2;120;0;Santos;Periférica;SP;1;Cardiologista; 408,00 ;5;365;Região C;Alta;51
8247509;Entrada;Convencional; 9.000,00 ; 3.700,00 ; 1.600,00 ; 2.900,00 ; 32.500,00 ; 15.300,00 ;10;6; 0,83 ;4;3;2;10;3;80;0;Santos;Central;SP;1;Cardiologista; 268,00 ;2;210;Região B;Média;49
8247660;Referência;Foco MS-2; 4.020,00 ; 920,00 ; 2.120,00 ; 720,00 ; 12.100,00 ; 4.320,00 ;3;4; 0,42 ;2;1;2;5;5;40;0;Salvador;Central;BA;0;Cardiologista; 188,00 ;3;250;Região C;Indefinido;60
8247811;Manutenção;Migração; 8.940,00 ; 1.340,00 ; 1.140,00 ; 640,00 ; 29.300,00 ; 17.240,00 ;9;10; 0,58 ;4;1;1;7;0;80;3598,739587;São Paulo;Periférica;SP;1;Cardiologista; 228,00 ;1;95;Região C;Média;56
8247962;Conversão;Convencional; 4.700,00 ; 1.600,00 ; 900,00 ; 7.900,00 ; 23.200,00 ; 8.100,00 ;7;2; 0,58 ;3;2;2;7;2;20;4053,708043;São Paulo;Central;SP;0;Cardiologista; 280,00 ;6;390;Região C;Média;55
8248113;Referência;Foco MS-1; 6.910,00 ; 2.910,00 ; 1.110,00 ; 2.010,00 ; 25.050,00 ; 12.110,00 ;11;1; 0,50 ;3;2;1;6;0;60;0;São Paulo;Central;SP;1;Cardiologista; 311,00 ;1;110;Região B;Alta;51
8248264;Manutenção;Foco MS-3; 1.230,00 ; 4.130,00 ; 330,00 ; 930,00 ; 7.950,00 ; 1.330,00 ;2;0; 0,58 ;1;4;1;7;5;60;0;Porto Alegre;Periférica;RS;2;Cardiologista; 162,00 ;3;250;Região A;Indefinido;44
8248415;Entrada;Foco MS-3; 6.430,00 ; 1.530,00 ; 1.630,00 ; 9.130,00 ; 35.250,00 ; 16.530,00 ;4;11; 0,58 ;3;1;2;7;3;40;0;Rio de Janeiro;Central;RJ;2;Cardiologista; 230,00 ;2;180;Região E;Média Alta;55
8248566;Entrada;Foco MS-1; 9.410,00 ; 2.110,00 ; 810,00 ; 12.310,00 ; 35.050,00 ; 10.410,00 ;2;11; 0,58 ;4;1;1;7;4;80;0;Porto Alegre;Central;RS;0;Cardiologista; 183,00 ;0;50;Região A;Média;48
8248717;Entrada;Migração; 3.640,00 ; 3.740,00 ; 540,00 ; 2.740,00 ; 11.000,00 ; 340,00 ;9;3; 0,42 ;1;3;1;5;2;80;0;Minas Gerais;Periférica;MG;1;Cardiologista; 221,00 ;1;105;Região E;Média Alta;44
8248868;Entrada;Foco MS-3; 8.030,00 ; 930,00 ; 1.330,00 ; 11.930,00 ; 37.050,00 ; 14.830,00 ;2;12; 0,42 ;3;0;1;5;1;120;0;Rio de Janeiro;Periférica;RJ;0;Cardiologista; 241,00 ;0;50;Região A;Média Alta;50
